day,demand_chips(Regular),description_chips(Regular),lead_time_chips(Regular),profit_chips(Regular),holding_cost_chips(Regular),news
1,91,"Potato Chips (Regular), 10oz bag",0,2,1,
2,246,"Potato Chips (Regular), 10oz bag",0,2,1,
3,285,"Potato Chips (Regular), 10oz bag",0,2,1,
4,437,"Potato Chips (Regular), 10oz bag",0,2,1,
5,448,"Potato Chips (Regular), 10oz bag",0,2,1,
6,587,"Potato Chips (Regular), 10oz bag",0,2,1,
7,637,"Potato Chips (Regular), 10oz bag",0,2,1,
8,776,"Potato Chips (Regular), 10oz bag",0,2,1,
9,963,"Potato Chips (Regular), 10oz bag",0,2,1,
10,863,"Potato Chips (Regular), 10oz bag",0,2,1,
11,1136,"Potato Chips (Regular), 10oz bag",0,2,1,
12,1221,"Potato Chips (Regular), 10oz bag",0,2,1,
13,1246,"Potato Chips (Regular), 10oz bag",0,2,1,
14,1265,"Potato Chips (Regular), 10oz bag",0,2,1,
15,1507,"Potato Chips (Regular), 10oz bag",0,2,1,
16,1547,"Potato Chips (Regular), 10oz bag",0,2,1,
17,1724,"Potato Chips (Regular), 10oz bag",0,2,1,
18,1802,"Potato Chips (Regular), 10oz bag",0,2,1,
19,2075,"Potato Chips (Regular), 10oz bag",0,2,1,
20,1973,"Potato Chips (Regular), 10oz bag",0,2,1,
21,1983,"Potato Chips (Regular), 10oz bag",0,2,1,
22,2221,"Potato Chips (Regular), 10oz bag",0,2,1,
23,2326,"Potato Chips (Regular), 10oz bag",0,2,1,
24,2566,"Potato Chips (Regular), 10oz bag",0,2,1,
25,2604,"Potato Chips (Regular), 10oz bag",0,2,1,
26,2645,"Potato Chips (Regular), 10oz bag",0,2,1,
27,2890,"Potato Chips (Regular), 10oz bag",0,2,1,
28,2643,"Potato Chips (Regular), 10oz bag",0,2,1,
29,2814,"Potato Chips (Regular), 10oz bag",0,2,1,
30,2873,"Potato Chips (Regular), 10oz bag",0,2,1,
31,3046,"Potato Chips (Regular), 10oz bag",0,2,1,
32,3005,"Potato Chips (Regular), 10oz bag",0,2,1,
33,3391,"Potato Chips (Regular), 10oz bag",0,2,1,
34,3368,"Potato Chips (Regular), 10oz bag",0,2,1,
35,3282,"Potato Chips (Regular), 10oz bag",0,2,1,
36,3448,"Potato Chips (Regular), 10oz bag",0,2,1,
37,3748,"Potato Chips (Regular), 10oz bag",0,2,1,
38,3929,"Potato Chips (Regular), 10oz bag",0,2,1,
39,4212,"Potato Chips (Regular), 10oz bag",0,2,1,
40,4461,"Potato Chips (Regular), 10oz bag",0,2,1,
41,4166,"Potato Chips (Regular), 10oz bag",0,2,1,
42,4040,"Potato Chips (Regular), 10oz bag",0,2,1,
43,3950,"Potato Chips (Regular), 10oz bag",0,2,1,
44,4444,"Potato Chips (Regular), 10oz bag",0,2,1,
45,4364,"Potato Chips (Regular), 10oz bag",0,2,1,
46,4530,"Potato Chips (Regular), 10oz bag",0,2,1,
47,4595,"Potato Chips (Regular), 10oz bag",0,2,1,
48,4776,"Potato Chips (Regular), 10oz bag",0,2,1,
49,5087,"Potato Chips (Regular), 10oz bag",0,2,1,
50,5028,"Potato Chips (Regular), 10oz bag",0,2,1,
